OFFICIAL


Date
12/09/2021 10:47:36

Vacancy title,Vacancy reference number,Submission number,Date submitted,SLA deadline,Review started,Review completed,Time taken to review,SLA exceeded by (hours),Outcome,Number of issues reported,Reviewed by,Vacancy submitted by,Employer,Display name,Training provider,Vacancy postcode,Standard / Framework
Clone SEpX_13Aug2021_00054796008 apprenticeship,1000029042,1,08/13/2021 00:08:03,08/16/2021 00:07:58,08/13/2021 00:08:18,08/13/2021 00:08:21,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,vQrQkcQcrc_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
VlWJceiXvj_13Aug2021_00054755938 apprenticeship,1000029046,1,08/13/2021 00:10:19,08/16/2021 00:10:18,08/13/2021 00:11:10,08/13/2021 00:11:16,0:00:05,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,iTbIfGVXVB_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
WYzusKdgbj_13Aug2021_00054831569 apprenticeship,1000029045,1,08/13/2021 00:10:38,08/16/2021 00:10:32,08/13/2021 00:11:20,08/13/2021 00:11:23,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
FsWCqLTjeY_13Aug2021_00054820205 apprenticeship,1000029044,1,08/13/2021 00:10:54,08/16/2021 00:10:51,08/13/2021 00:11:54,08/13/2021 00:11:57,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,haZejUfpNh_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
knbPkhQDvr_13Aug2021_00054933795 apprenticeship,1000029043,1,08/13/2021 00:11:20,08/16/2021 00:11:17,08/13/2021 00:12:13,08/13/2021 00:12:17,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,thFlTJOAyK_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone pynP_13Aug2021_00104724464 apprenticeship,1000029047,1,08/13/2021 00:12:24,08/16/2021 00:12:21,08/13/2021 00:12:45,08/13/2021 00:12:51,0:00:05,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,tKOcMckyJH_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone KuLJ_13Aug2021_00123868909 apprenticeship,1000029048,1,08/13/2021 00:14:24,08/16/2021 00:14:24,08/13/2021 00:14:42,08/13/2021 00:14:46,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,QrjmeAcTMM_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone kPNB_13Aug2021_00125846767 apprenticeship,1000029049,1,08/13/2021 00:14:32,08/16/2021 00:14:30,08/13/2021 00:14:54,08/13/2021 00:14:56,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,haZejUfpNh_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
MOzARwMYkx_13Aug2021_00183363022 apprenticeship,1000029052,1,08/13/2021 00:21:48,08/16/2021 00:21:48,08/13/2021 00:22:18,08/13/2021 00:22:22,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
gegpzvzgze_13Aug2021_00243357676 apprenticeship,1000029054,1,08/13/2021 00:27:36,08/16/2021 00:27:36,08/13/2021 00:27:55,08/13/2021 00:27:57,0:00:02,,Referred,0,Dastest2@test.com,Provider,REGULUS BIDCO  LIMITED,REGULUS BIDCO  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,HP17 8LJ,274 Abattoir worker
CLAQfyBDxt_13Aug2021_00243363199 apprenticeship,1000029057,1,08/13/2021 00:28:07,08/16/2021 00:28:05,08/13/2021 00:28:21,08/13/2021 00:28:23,0:00:01,,Approved,0,Dastest2@test.com,Provider,BOSE ACCOUNTANCY  LTD,BOSE ACCOUNTANCY  LTD,EDUC8 TRAINING (ENGLAND) LIMITED,HP13 7NE,274 Abattoir worker
HsxCQptAbC_13Aug2021_00243357676 apprenticeship,1000029055,1,08/13/2021 00:28:12,08/16/2021 00:28:12,08/13/2021 00:28:30,08/13/2021 00:28:32,0:00:02,,Approved,0,Dastest2@test.com,Provider,BOSE ACCOUNTANCY  LTD,BOSE ACCOUNTANCY  LTD,EDUC8 TRAINING (ENGLAND) LIMITED,HP13 7NE,274 Abattoir worker
maQmYbgdRL_13Aug2021_00315233346 apprenticeship,1000029063,1,08/13/2021 00:35:19,08/16/2021 00:35:18,08/13/2021 00:35:45,08/13/2021 00:35:48,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
KIHWaVQcOi_13Aug2021_00374754403 apprenticeship,1000029066,1,08/13/2021 00:39:44,08/16/2021 00:39:43,08/13/2021 00:39:59,08/13/2021 00:40:01,0:00:01,,Approved,0,Dastest2@test.com,Provider,TINMAN  LIMITED,TINMAN  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,SK9 4LY,274 Abattoir worker
SPfQAkpeet_13Aug2021_00402367184 apprenticeship,1000029067,1,08/13/2021 00:42:50,08/16/2021 00:42:49,08/13/2021 00:43:15,08/13/2021 00:43:18,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,agMzFjRVQW_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone hryH_16Aug2021_00053920888 apprenticeship,1000029071,1,08/16/2021 00:07:26,08/17/2021 00:07:24,08/16/2021 00:07:41,08/16/2021 00:07:44,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
HqSTzztZKt_16Aug2021_00053940640 apprenticeship,1000029072,1,08/16/2021 00:09:27,08/17/2021 00:09:24,08/16/2021 00:10:11,08/16/2021 00:10:16,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,zIgkdmnPij_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
ctbDKPSjoP_16Aug2021_00053945160 apprenticeship,1000029074,1,08/16/2021 00:09:43,08/17/2021 00:09:42,08/16/2021 00:10:26,08/16/2021 00:10:28,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,CQPGxmLeAu_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
GKaDtkWKMd_16Aug2021_00053942799 apprenticeship,1000029070,1,08/16/2021 00:09:50,08/17/2021 00:09:48,08/16/2021 00:10:35,08/16/2021 00:10:37,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
BgYrsOVDkP_16Aug2021_00053932530 apprenticeship,1000029073,1,08/16/2021 00:09:58,08/17/2021 00:09:58,08/16/2021 00:10:47,08/16/2021 00:10:51,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,eEhulanavh_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone diOv_16Aug2021_00101291238 apprenticeship,1000029075,1,08/16/2021 00:11:32,08/17/2021 00:11:30,08/16/2021 00:12:03,08/16/2021 00:12:07,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone oxvB_16Aug2021_00112576945 apprenticeship,1000029076,1,08/16/2021 00:13:00,08/17/2021 00:13:00,08/16/2021 00:13:22,08/16/2021 00:13:24,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone YIRl_16Aug2021_00114348458 apprenticeship,1000029078,1,08/16/2021 00:13:32,08/17/2021 00:13:27,08/16/2021 00:13:51,08/16/2021 00:13:53,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
LiNrFcojRF_16Aug2021_00141140530 apprenticeship,1000029079,1,08/16/2021 00:17:57,08/17/2021 00:17:51,08/16/2021 00:18:36,08/16/2021 00:18:41,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
